"","alpha","b_mkt","b_smb","b_hml","ivol","tvol","exret","exret_sq","Direction"
"440",3e-04,1.0367,-0.0958,-0.3956,0.008681,0.013539,-0.013611,0.000393030625,"1"
"441",3e-04,1.0538,-0.1037,-0.4124,0.008578,0.013582,0.019825,0.000446941881,"1"
"442",4e-04,1.0656,-0.102,-0.4356,0.008675,0.013803,0.021141,0.000411156729,"0"
"443",2e-04,1.0374,-0.1177,-0.4595,0.008663,0.01363,-0.020277,1.752976e-06,"0"
"444",2e-04,1.0376,-0.1168,-0.4644,0.008663,0.013658,-0.001324,2.1874329e-05,"1"
"445",2e-04,1.0408,-0.1116,-0.4641,0.008667,0.013652,0.004677,0.000110544196,"1"
"446",2e-04,1.0382,-0.1054,-0.4499,0.008669,0.013576,0.010514,3.0625e-06,"1"
"447",2e-04,1.0258,-0.1174,-0.4646,0.008638,0.013429,0.00175,1.7172736e-05,"1"
"448",2e-04,1.0384,-0.1174,-0.4836,0.00852,0.013427,0.004144,5.0452609e-05,"1"
"449",2e-04,1.0384,-0.1323,-0.4839,0.008527,0.013385,0.007103,5.588496e-06,"0"
"450",1e-04,1.0384,-0.1375,-0.485,0.008523,0.013391,-0.002364,1.106704e-06,"1"
"451",2e-04,1.0336,-0.0935,-0.5152,0.008436,0.013367,0.001052,1.0745284e-05,"1"
"452",3e-04,1.0352,-0.082,-0.5107,0.008424,0.013368,0.003278,2.334784e-06,"0"
"453",3e-04,1.0397,-0.1106,-0.5168,0.008395,0.013368,-0.001528,1.31044e-07,"0"
"454",2e-04,1.0326,-0.1158,-0.5118,0.008315,0.013253,-0.000362,6.610041e-06,"1"
"455",2e-04,1.0343,-0.1213,-0.5132,0.008314,0.013211,0.002571,0.0003736489,"0"
"456",1e-04,1.0229,-0.0975,-0.5225,0.008399,0.013211,-0.01933,3.14721e-05,"0"
"457",1e-04,1.0208,-0.0959,-0.518,0.008407,0.01319,-0.00561,0.000214446736,"0"
"458",1e-04,1.0219,-0.0777,-0.4963,0.008447,0.013187,-0.014644,4.401604e-06,"0"
"459",1e-04,1.0222,-0.0734,-0.4939,0.008444,0.013184,-0.002098,2.537649e-06,"1"
"460",1e-04,1.0298,-0.0444,-0.4844,0.008423,0.013202,0.001593,2.5482304e-05,"1"
"461",1e-04,1.0298,-0.0527,-0.4934,0.008396,0.013194,0.005048,1.4799409e-05,"1"
"462",1e-04,1.0296,-0.0512,-0.4981,0.008398,0.01319,0.003847,0.000151708489,"1"
"463",2e-04,1.0375,-0.033,-0.492,0.008432,0.013263,0.012317,2.6749584e-05,"1"
"464",2e-04,1.0383,-0.029,-0.489,0.008438,0.013269,0.005172,4.23801e-07,"0"
"465",2e-04,1.0383,-0.0294,-0.489,0.008438,0.013268,-0.000651,9.746884e-06,"1"
"466",1e-04,1.0357,-0.0234,-0.4998,0.008415,0.013251,0.003122,1.227664e-06,"0"
"467",2e-04,1.0368,-0.025,-0.5056,0.008403,0.013251,-0.001108,4.8986001e-05,"1"
"468",2e-04,1.0343,-0.0258,-0.5003,0.008399,0.013238,0.006999,4.7499664e-05,"1"
"469",2e-04,1.0345,-0.0256,-0.4952,0.008407,0.013234,0.006892,1.153476e-06,"0"
"470",2e-04,1.0347,-0.0244,-0.494,0.008407,0.013236,-0.001074,0.000136118889,"0"
"471",2e-04,1.0434,-0.0021,-0.4841,0.008419,0.013319,-0.011667,0.000266701561,"1"
"472",3e-04,1.037,0.0256,-0.4647,0.008447,0.013298,0.016331,0.000139806976,"1"
"473",3e-04,1.0444,0.0166,-0.4551,0.008468,0.013373,0.011824,7.376656e-06,"1"
"474",3e-04,1.0444,0.0232,-0.4584,0.008464,0.013374,0.002716,1.8800896e-05,"0"
"475",1e-04,1.0332,0.0231,-0.4389,0.008078,0.013065,-0.004336,0.000510488836,"0"
"476",1e-04,1.034,0.0218,-0.4344,0.008191,0.013135,-0.022594,9.29296e-07,"0"
"477",1e-04,1.0337,0.0196,-0.4344,0.008191,0.013135,-0.000964,2.1846276e-05,"1"
"478",1e-04,1.0336,0.0244,-0.4355,0.008196,0.013136,0.004674,1.674436e-06,"0"
"479",1e-04,1.0336,0.0237,-0.4368,0.008196,0.013131,-0.001294,1.2524521e-05,"0"
"480",1e-04,1.0334,0.0192,-0.4348,0.008199,0.01313,-0.003539,1.2538681e-05,"0"
"481",1e-04,1.0329,0.0181,-0.4308,0.008198,0.013118,-0.003541,4.6854025e-05,"0"
"482",0,1.0352,0.0237,-0.4297,0.008204,0.013148,-0.006845,4.5724644e-05,"1"
"483",0,1.0429,0.0345,-0.4347,0.008179,0.013183,0.006762,4.9284e-06,"1"
"484",0,1.042,0.035,-0.4369,0.008181,0.013182,0.00222,0.000617820736,"1"
"485",1e-04,1.0252,0.0245,-0.4263,0.008325,0.013183,0.024856,3.359889e-06,"0"
"486",1e-04,1.023,0.0229,-0.4238,0.008302,0.013214,-0.001833,1.2397441e-05,"1"
"487",1e-04,1.0193,0.003,-0.4369,0.008263,0.013183,0.003521,5.456896e-06,"1"
"488",1e-04,1.0209,0.0093,-0.442,0.008255,0.013181,0.002336,1.3053769e-05,"1"
"489",1e-04,1.0202,0.0171,-0.4387,0.008256,0.013189,0.003613,3.1741956e-05,"0"
"490",1e-04,1.0173,0.0128,-0.4386,0.008262,0.013127,-0.005634,0.00010609,"1"
"491",1e-04,1.0079,0.0077,-0.4406,0.008286,0.013136,0.0103,1.3213225e-05,"0"
"492",1e-04,1.0052,0.0166,-0.4413,0.008285,0.013091,-0.003635,2.468041e-06,"0"
"493",1e-04,1.0043,0.0159,-0.4437,0.008286,0.013086,-0.001571,2.005056e-06,"1"
"494",1e-04,1.0054,0.0141,-0.4463,0.008286,0.013125,0.001416,2.0994724e-05,"1"
"495",1e-04,1.0062,0.0221,-0.4469,0.008288,0.013087,0.004582,2.67289e-05,"0"
"496",1e-04,1.0076,0.0199,-0.4439,0.008293,0.013045,-0.00517,8.567329e-06,"0"
"497",1e-04,1.0073,0.0197,-0.4425,0.008292,0.013048,-0.002927,4.4195904e-05,"1"
"498",1e-04,1.0085,0.0178,-0.437,0.008284,0.01305,0.006648,4.0640625e-05,"0"
"499",2e-04,1.0073,0.0131,-0.4081,0.008184,0.012963,-0.006375,4.74721e-07,"1"
"500",2e-04,1.0072,0.0119,-0.4079,0.008182,0.012961,0.000689,1.9616041e-05,"0"
"501",2e-04,1.0101,0.0234,-0.4078,0.008154,0.01296,-0.004429,1.0061584e-05,"0"
"502",2e-04,1.0085,0.0218,-0.4087,0.008156,0.012971,-0.003172,8.168164e-06,"1"
